"id","tiny_name","name","code","width","height","external_id"
"636b5def07eef-7300",Hru__W.250,"ХРУТКА Какао-напиток д/п:9, зиплок, .250",hrutka_kakao_rastvorimoye_wrp,13.00,19.00,"1000444213"
"636b5cba56c6f-3211",PiaEFW1.0,"PIAZZA DEL CAFFE Espresso Forte Кофе в зёрнах 1кг ст/бэг:6, зиплок, 1.000",piazza_del_caffe_espresso_forte_zernovoy_wrp,16.00,29.00,"1000446780"
"636b588663336-9059",Lal__W.500,"LALIBELA COFFEE ESPRESSO Кофе в зёрнах стаб/бэг:5, зиплок, .500",lalibela_coffee_zernovoy_wrp,11.30,25.00,"1000447881"
"636b5cbaa925a-9371",PoeDCW.250,"POETTI Daily Classic Crema Кофе в зернах стаб/бэг:4, зиплок, .250",poetti_daily_classic_crema_zernovoy_wrp,9.95,23.00,"1000455055"
"636b5cb83b53d-6568",NesCCJ.190,"NESCAFE Classic Crema Кофе растворимый ст/бан:6, Стеклянная банка, .190",nescafe_classic_crema_rastvorimyy_jar,9.90,18.70,"1000455954"
"6509e0bf0b4fc-3764",_____B.480,"ХРУТКА Какао нап раствор д/детей 480г пл/б:10, пластиковая банка, .480",khrutka_kakao_rastvorimoe_480g_ppb,10.80,12.70,"1000470427"
"6509e0cfecc89-3907",_____C.144,"GUSTO di ROMA Кофе в капсулах Капучино Dolce Gusto 16шт:6, коробка, .144",gusto_di_roma_apuchino_dolce_gusto_kapsuly_16sht_box,11.95,13.15,"1000478811"
"6509e0c31d52c-4350",Jac__W.200,"JACOBS Turka Кофе по-восточному молотый 200г м/уп:9, зиплок, .200",jacobs_turka_po_vostochnomu_molotyi_200g_wrp,6.50,19.00,"1000488455"
"6509c5b2d0c01-8134",Fre__J.190,"FRESCO ARABICA SOLO растворимый, Стеклянная банка, .190",fresco_arabica_solo_rastvorimyi_100g_jar,10.20,19.00,"1000494103"
"6509e0bec74d9-7136",Man__C.300,"МАГНИТ Горячий шоколад 300г к/у (Россия) :10, коробка, .300",magnit__stm__goriachii_shokolad_300g_box,13.50,18.00,"1000496304"
c7688632-a85d-4c91-965f-2319f1b6b978,___GDC16PC,"GUSTO DI ROMA Кофе в капс Латте кар Dolce Gusto 16шт 144г:6, коробка, 16PC",gusto_di_roma_latte_karamel_dolce_gusto_kapsulyi_16sht_box,11.95,13.15,"1000512830"
"7912fd40-e484-4f65-84b3-5395f3139093",MokMKJ.090,"МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ Галапагос Кофе раствор 90г с/б:8, Стеклянная банка, .090",moskovskaya_kofeynya_na_payah_galapagos_rastvorimyij_90g_jar,9.00,14.60,"1000532823"
"2101872a-8efb-4aaf-9412-b73749f61453",NesNEW9PC,"NESCAFE 3в1 CLASSIC Напиток кофейн классич 14,5гх9 фл/п:15, зиплок, 9PC",nescafe_classic_3v1_14_5g_9shtuk_wrp,16.00,22.00,"1000551678"
f7249c63-4aae-4422-ad0b-b2e91132ca21,___GDJ.190,"GUSTO di ROMA Кофе натур растворимый 190г ст/бан (Санти):6, Стеклянная банка, .190",gusto_di_roma_kofe_rastvorimyij_190g_jar,8.60,18.50,"1000554108"
"636b5cb721c92-6596",MafTOW10PC,"MacCoffee Кофе 3в1 20гр 10пак фл/п(Фес продукт):25, зиплок, 10PC",maccoffee_the_original_3v1_wrp,17.50,23.00,"1041239942"
"636b588758262-5211",LebPLW.100,"LEBO Кофе мол. в/сорт м/у 100г (Продукт Сервис):30, зиплок, .100",lebo_prints_lebo_dlya_turki_molotyy_wrp,11.80,16.60,"1500000110"
"636b5cbf81a3b-7558",JokTRJ.095,"ЖОКЕЙ Триумф Кофе раст 95г ст/б(Орими Трейд):12, Стеклянная банка, .095",zhokey_triumf_rastvorimyy_jar,6.80,15.50,"1524200016"
"636b5ded3889f-3592",MokAZW.250,"МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ Кофе арабика нат зерна :4, зиплок, .250",moskovskaya_kofeynya_na_payah_arabika_zernovoy_wrp,10.00,20.00,"1537000001"
"636b5decbb6f1-6112",Mok__W.250,"МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ Кофе Арабика молотый 250г :6, зиплок, .250",moskovskaya_kofeynya_na_payah_arabika_molotyy_wrp,10.00,20.00,"1537000002"
"636b5880d3e74-4957",JacMRJ.190,"JACOBS MONARCH Кофе растворимый ст/б:6, Стеклянная банка, .190",jacobs_monarch_rastvorimyy_jar,9.20,18.70,"1547000011"
"636b5dee3e348-6332",PetIPW.204,"ПЕТР ПЕРВЫЙ Императорский помол Кофе в/с 204 г(Кумир):8, зиплок, .204",petr_velikiy_imperatorskiy_pomol_molotyy_wrp,9.50,21.50,"1599400786"
"636b5deab4838-8638",JokPMV.250,"ЖОКЕЙ Кофе По-восточному молотый в/с (НЕП) :18, вакуумная упаковка, .250",zhokey_po_vostochnomu_molotyy_vac,8.30,19.00,"3101160202"
"636b5881e90c8-9072",JacMRJ.095,"JACOBS MONARCH Кофе растворимый ст/б:6, Стеклянная банка, .095",jacobs_monarch_rastvorimyy_jar,7.40,15.50,"3141730001"
"636b58800a216-1763",JacMRJ.048,"JACOBS MONARCH Кофе растворимый ст/б:6, Стеклянная банка, .048",jacobs_monarch_rastvorimyy_jar,5.92,12.20,"3144700002"
"636b5564edd70-8048",Car__J.095,"CARTE NOIRE Кофе натур раствор ст/бан:6, Стеклянная банка, .095",carte_noire_original_rastvorimyy_jar,7.70,15.50,"3147800001"
"69976c6f-60d9-4f81-9799-7cc9b4edb988",JacJAL.200,"MONARCH Gold Arabica Кофе жареный молотый 200г м/у:9, пакет, .200",jacobs_gold_molotyij_200g_lp,9.60,19.10,"8000008410"
"9e69c024-d3df-4234-85b0-2cfc8811faf9",JacJAL.200,"MONARCH Gold Arabica Кофе натур жар в зернах 200г м/у:9, пакет, .200",jacobs_gold_zernovoj_200g_lp,9.60,19.10,"8000008411"
ce651469-8b3b-4099-a439-558da5ff7467,___CTL.100,"COFFEE TURCA Turkish Coffee Кофе молотый в/с 200г фл/п:10, пакет, .100",coffee_turca_turkish_coffee_molotyij_100g_lp,3.00,17.00,"8000008414"
"20140e7c-8de7-4130-86d6-af44e751fe50",JacJAJ.09,"MONARCH Cinnamon Кофе с корицей натур раств 90г ст/бан:6, Стеклянная банка, .09",jacobs_monarch_cinnamon_kofe_s_koritsej_rastvorimyij_90g_jar,7.40,15.20,"8000010633"
"69063b71b7cde-3588",MoyСГW.070,"МОЯ ЦЕНА Кофе гранула+сублим 70г дой пак:12, зиплок, .070",moya_tsena__stm__rastvorimyy_granulirovannyy_0_07_wrp,13.00,19.00,"8000025299"
"9e0eb125-0a08-4add-a2f0-d5c663bbb8bc",___INW.200,"INSPIRATO Кофе натур зерн 200г стаб/бэг(Россия):6, зиплок, .200",inspirato_zernovoj_200g_wrp,10.00,20.00,"8000028440"
f431b579-c995-4d9c-a41f-c0cc87c23c1a,___INW1,"INSPIRATO Кофе натур зерн 1000г стаб/бэг(Россия):5, зиплок, 1",inspirato_zernovoj_1kg_wrp,16.00,30.00,"8000028441"
"3d6fad49-d086-48d3-b427-8802d1cb0bfc",___BAD.130,"BABYFOX Какао-напиток 130г д/п:20, дой-пак, .130",babyfox_napitok_s_kakao_130g_dp,12.00,16.70,"8000028573"
"9c9e1414-97b6-4bf8-ba4a-f8a552e76cff",___INJ.070,"INSPIRATO Кофе сублимированный 70г ст/б (Россия):6, Стеклянная банка, .070",inspirato_sublimirovannyij_70g_jar,16.80,14.80,"8000029056"
a80b8560-ff93-4107-91f0-12fe4f82b45c,JacJAW.060,"MONARCH TURK ESINTI Кофе натур раствор сублим 60г д/п:15, зиплок, .060",jacobs_monarch_turk_esinti_rastvorimyij_60g_wrp,14.00,18.00,"8000034649"
da89bbec-cacf-4135-b071-c7eaf4a6ad44,PoePOW.075,"POETTI Daily Mokka Кофе молотый 75г стаб/бэг:18, зиплок, .075",poetti_daily_mokka_molotyij_75g_wrp,8.10,17.00,"8000038631"
"953df2bd-0377-460f-9875-918c8cd04b88",StaSMD.085,"СТАРАЯ МЕЛЬНИЦА Цикорий нат раствор с черникой 85г д/п:12, дой-пак, .085",staraya_melnitsa_tsikorij_s_chernikoj_rastvorimyij_85g_dp,14.00,20.00,"8000040144"
e039ea50-3027-45c5-b336-a55b3d67e781,StaSMD.085,"СТАРАЯ МЕЛЬНИЦА Цикорий нат раствор с шиповником 85г д/п:12, дой-пак, .085",staraya_melnitsa_tsikorij_s_shipovnikom_rastvorimyij_85g_dp,14.00,20.00,"8000040145"
"1836e720-1bc3-4ea8-bf0f-155300a0b7ad",JacJAG.160,"MONARCH Original Кофе натуральный растворимый 160г ст/бан:6, Стеклянная бутылка, .160",jacobs_monarch_original_rastvorimyij_160g_gb,7.50,17.00,"8000042396"
"690615d33a134-2613",JacASJ.150,"MONARCH Asian selection Кофе нат раствор сублим ст/бан:6, Стеклянная банка, .150",jacobs_asian_selection_rastvorimyy_jar,7.50,17.00,"8000053871"
ee5b75eb-01e5-46f6-885a-dc8d2da253d4,JarJAG.170,"JARDIN Colombia Medellin Кофе 170г ст/б(Орими Трэйд):6, Стеклянная бутылка, .170",jardin_colombia_medellin_rastvorimyij_170g_gb,8.90,19.80,"8000057606"
ec76ab93-771a-42cc-aa61-a212c44f2484,ZhvZKW.500,"ЖИВОЙ КОФЕ Кофе в зёрнах Vienna Cafe 500г ст/бэг:6, зиплок, .500",zhivoy_kofe_vienna_cafe_zernovoj_500g_wrp,18.50,27.00,"8000062370"
"4a80f2ab-5b57-4f40-9c93-e773388aafe9",___CTW.800,"COFFEE TURCA Safari blend Кофе в зернах 800г стаб/бэг:4, зиплок, .800",coffee_turca_safari_blend_kofe_v_zernah_800g_wrp,8.00,27.00,"8000063015"
"253c39be-92b4-4f56-9cf5-f6ca5e6c234c",___GDJ.190,"GUSTO DI ROMA ARABICA Кофе сублимир 190г ст/бан:6, Стеклянная банка, .190",gusto_di_roma_arabica_rastvorimyij_190g_jar,8.60,18.80,"8000065563"
de24bfba-eb3f-4905-8593-e8a566ed94d8,___ALW.250,"АЛЁНКА Горячий шоколад 250г д/п:12, зиплок, .250",alenka_goryachij_shokolad_250g_wrp,16.50,24.00,"8000068063"
